Time,BIL.39.HGI_OnlineDrum.IDMS,BIL.39.HGI_D3908_Status.IDMS,BIL.39.HGI_D3909_Status.IDMS,HGI_DrumRunTime.HOL,BIL.39.CokeDrum_HGI_Pred.IDMS,BIL.39.CokeDrum_TargetHGI_Upper.IDMS,BIL.39.CokeDrum_TargetHGI_Lower.IDMS,BIL.39.CokeDrum_PredHGI_Upper.IDMS,BIL.39.CokeDrum_PredHGI_Lower.IDMS,HGIflag1,HGIflag2,HGIflag3,BIL.39.CokeDrum_HeavyWtPercent.IDMS,BIL.39.CokeDrum_MediumWtPercent.IDMS,BIL.39.CokeDrum_LightWtPercent.IDMS,39XA151,39XA152,39OUTAGE,39LI112A,39LI112B,39LI112C,39LI109A,39LI109B,39LI109C,39FI347,39FI123,39PI101,39PI994A,39PI995A,39PI180,39PI181,39PI111,39TI199,39TI203,39FC126,39FC127,39FC128,39FC129,39DI348
2020-08-01 12:00:00,South,Offline,Online,2.75,52.5,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,11.2,0.0,0.8,1.1,71.2,41.1,18176.4,18942.7,14.6,14.6,20.2,39.7,35.1,93.4,139.7,855.7,550.1,550.4,551.9,548.4,1.9
2020-08-01 11:55:00,South,Offline,Online,2.67,52.6,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,11.3,0.4,1.0,-0.1,69.9,41.1,18216.4,19037.8,14.5,13.9,20.1,38.7,34.7,92.4,139.7,856.0,549.9,552.4,551.9,548.4,1.9
2020-08-01 11:50:00,South,Offline,Online,2.58,52.7,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,11.9,0.7,1.0,3.7,71.5,41.0,18187.7,19031.2,14.6,13.9,20.1,37.8,35.0,93.3,139.7,856.3,549.9,552.4,552.4,548.5,1.9
2020-08-01 11:45:00,South,Offline,Online,2.5,52.8,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,12.0,0.7,0.7,2.1,70.5,40.6,18179.1,19004.9,14.5,13.7,20.1,36.8,34.9,93.2,140.2,856.7,549.4,551.0,554.4,549.6,1.9
2020-08-01 11:40:00,South,Offline,Online,2.42,52.9,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,12.0,0.3,0.3,0.3,69.7,40.6,18204.0,18980.8,14.6,13.7,20.0,36.1,34.8,93.3,142.8,857.2,549.1,548.9,554.4,549.6,1.9
2020-08-01 11:35:00,South,Offline,Online,2.33,53.0,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,11.4,-0.0,0.2,0.8,72.2,40.5,18130.9,19010.7,14.6,13.7,19.9,35.8,34.8,94.2,143.8,855.7,549.1,548.9,553.5,549.7,1.9
2020-08-01 11:30:00,South,Offline,Online,2.25,53.1,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,11.1,-0.0,0.0,0.8,71.9,39.9,18158.6,18928.7,14.3,13.5,20.0,35.7,34.5,93.6,143.8,854.7,549.1,547.5,550.0,551.0,1.9
2020-08-01 11:25:00,South,Offline,Online,2.17,53.3,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,11.2,0.0,0.0,0.7,71.9,39.9,18131.4,19025.4,14.3,13.5,20.1,35.7,33.9,91.8,143.8,856.1,549.1,545.4,550.0,551.0,1.9
2020-08-01 11:20:00,South,Offline,Online,2.08,53.4,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,11.3,0.0,0.0,0.4,72.0,40.0,18165.8,18977.3,14.3,13.3,20.1,35.6,33.9,92.4,143.8,856.3,549.1,545.4,549.7,550.8,1.9
2020-08-01 11:15:00,South,Offline,Online,2.0,53.4,33.0,27.0,54.0,52.0,1.0,2.0,0.0,43.03,42.7,14.27,1.0,0.0,46.0,12.1,0.0,0.0,-0.1,72.3,40.0,18108.3,18978.4,14.4,12.9,20.4,35.4,34.3,93.3,144.2,856.5,549.8,547.1,548.6,549.6,1.9
